Map (#),WIN%,W,L,ATK 1st,DEF 1st,ATK RWin%,RW,RL,DEF RWin%,RW.1,RL.1,Team
Ascent (98),67%,66,32,41,57,52%,514,483,59%,609,430,FUT Esports
Icebox (69),57%,39,30,36,33,56%,431,338,50%,366,359,FUT Esports
Breeze (27),56%,15,12,15,12,53%,162,142,49%,139,142,FUT Esports
Fracture (20),45%,9,11,9,11,51%,113,107,49%,105,109,FUT Esports
Pearl (15),67%,10,5,8,7,52%,77,72,61%,104,66,FUT Esports
Lotus (43),60%,26,17,22,21,60%,277,188,46%,220,260,FUT Esports
Sunset (25),48%,12,13,14,11,55%,147,120,48%,126,134,FUT Esports
Abyss (4),25%,1,3,1,3,50%,21,21,42%,20,28,FUT Esports
Bind (23),70%,16,7,18,5,59%,161,113,49%,114,119,Karmine Corp
Haven (23),57%,13,10,17,6,47%,119,135,54%,116,98,Karmine Corp
Split (16),31%,5,11,7,8,45%,68,84,39%,56,87,Karmine Corp
Ascent (24),29%,7,17,11,13,40%,101,152,50%,129,131,Karmine Corp
Icebox (25),56%,14,11,10,15,53%,135,122,51%,141,135,Karmine Corp
Breeze (9),33%,3,6,6,3,48%,47,50,45%,35,43,Karmine Corp
Fracture (5),40%,2,3,3,2,52%,27,25,52%,24,22,Karmine Corp
Pearl (9),56%,5,4,5,4,55%,52,43,60%,53,36,Karmine Corp
Lotus (34),53%,18,16,19,15,55%,207,166,47%,169,192,Karmine Corp
Sunset (21),52%,11,10,11,10,52%,112,102,55%,130,108,Karmine Corp
Abyss (2),0%,0,2,1,1,61%,17,11,30%,8,19,Karmine Corp
Bind (39),44%,17,22,18,21,47%,189,217,52%,230,213,Team Vitality
Haven (52),48%,25,27,35,17,51%,278,269,50%,261,263,Team Vitality
Split (62),60%,37,25,35,27,52%,343,318,57%,363,274,Team Vitality
Ascent (67),63%,42,25,25,42,50%,330,331,62%,458,281,Team Vitality
Icebox (57),68%,39,18,41,16,57%,372,277,53%,303,265,Team Vitality
Breeze (34),74%,25,9,21,13,61%,217,139,55%,191,159,Team Vitality
Fracture (24),63%,15,9,17,7,55%,149,123,48%,100,107,Team Vitality
Pearl (7),43%,3,4,5,2,52%,43,40,48%,28,30,Team Vitality
Lotus (32),53%,17,15,18,14,55%,192,154,46%,159,185,Team Vitality
Sunset (20),60%,12,8,15,5,52%,116,107,55%,102,85,Team Vitality
Abyss (3),67%,2,1,3,0,70%,28,12,43%,13,17,Team Vitality
Bind (77),71%,55,22,48,29,60%,505,340,54%,409,349,FNATIC
Haven (87),67%,58,29,54,33,58%,576,411,54%,484,411,FNATIC
Split (54),67%,36,18,23,31,55%,322,266,52%,307,279,FNATIC
Ascent (64),58%,37,27,24,40,51%,336,329,56%,390,310,FNATIC
Icebox (73),74%,54,19,44,29,60%,468,309,54%,386,324,FNATIC
Breeze (18),61%,11,7,9,9,58%,109,78,49%,91,94,FNATIC
Fracture (27),70%,19,8,16,11,53%,156,138,58%,161,115,FNATIC
Pearl (6),50%,3,3,4,2,55%,33,27,52%,34,31,FNATIC
Lotus (54),70%,38,16,29,25,57%,325,243,57%,317,238,FNATIC
Sunset (15),33%,5,10,5,10,51%,82,80,44%,76,95,FNATIC
Abyss (13),38%,5,8,6,7,59%,87,60,41%,62,90,FNATIC
Bind (59),71%,42,17,28,31,59%,388,267,52%,329,298,Team Heretics
Haven (78),76%,59,19,41,36,59%,475,335,59%,442,302,Team Heretics
Split (45),58%,26,19,10,35,47%,187,212,59%,312,221,Team Heretics
Ascent (74),66%,49,25,39,35,57%,420,314,60%,443,292,Team Heretics
Icebox (61),54%,33,28,34,27,52%,342,321,53%,339,299,Team Heretics
Breeze (27),48%,13,14,22,5,52%,153,141,52%,135,124,Team Heretics
Fracture (10),20%,2,8,4,6,44%,44,56,47%,55,62,Team Heretics
Pearl (12),50%,6,6,5,7,46%,52,60,46%,60,70,Team Heretics
Lotus (42),57%,24,18,19,23,55%,247,202,43%,194,261,Team Heretics
Sunset (31),71%,22,9,15,16,53%,164,144,59%,180,127,Team Heretics
Abyss (12),33%,4,8,5,7,48%,58,64,38%,50,81,Team Heretics
Bind (35),49%,17,18,10,25,48%,172,183,53%,217,191,Natus Vincere
Haven (32),44%,14,18,13,19,47%,154,177,49%,164,169,Natus Vincere
Split (39),56%,22,17,14,25,53%,209,184,51%,230,223,Natus Vincere
Ascent (51),63%,32,19,27,24,53%,285,248,55%,291,238,Natus Vincere
Icebox (41),59%,24,17,19,22,53%,248,220,54%,249,212,Natus Vincere
Breeze (18),39%,7,11,6,12,45%,76,93,49%,95,99,Natus Vincere
Fracture (23),61%,14,9,8,15,56%,135,105,51%,129,122,Natus Vincere
Pearl (17),76%,13,4,7,10,59%,110,78,56%,104,82,Natus Vincere
Lotus (22),27%,6,16,8,14,50%,118,120,41%,99,144,Natus Vincere
Sunset (13),38%,5,8,7,6,43%,55,74,49%,63,65,Natus Vincere
Abyss (1),100%,1,0,0,1,73%,8,3,42%,5,7,Natus Vincere
Bind (55),56%,31,24,17,37,53%,293,255,50%,296,296,BBL Esports
Haven (70),70%,49,21,32,36,55%,375,307,59%,443,313,BBL Esports
Split (39),51%,20,19,14,25,54%,212,181,49%,206,216,BBL Esports
Ascent (86),63%,54,32,59,26,51%,483,463,57%,467,355,BBL Esports
Icebox (39),49%,19,20,11,28,49%,199,210,49%,230,236,BBL Esports
Breeze (12),42%,5,7,3,9,52%,62,58,48%,65,71,BBL Esports
Fracture (12),42%,5,7,5,7,48%,68,73,47%,65,72,BBL Esports
Pearl (10),50%,5,5,6,4,47%,50,56,49%,48,49,BBL Esports
Lotus (14),50%,7,7,4,10,51%,78,76,48%,80,85,BBL Esports
Sunset (14),50%,7,7,5,9,51%,77,73,49%,75,78,BBL Esports
Abyss (2),100%,2,0,0,2,67%,10,5,67%,16,8,BBL Esports
Bind (78),53%,41,37,31,47,49%,381,400,54%,479,404,Team Liquid
Haven (81),63%,51,30,37,44,56%,457,366,55%,453,376,Team Liquid
Split (76),62%,47,29,44,31,52%,422,390,55%,428,351,Team Liquid
Ascent (78),71%,55,23,34,44,55%,443,361,58%,486,350,Team Liquid
Icebox (49),57%,28,21,23,26,55%,291,241,50%,260,264,Team Liquid
Breeze (23),78%,18,5,5,18,58%,138,98,54%,147,126,Team Liquid
Fracture (24),54%,13,11,12,12,51%,124,121,51%,137,131,Team Liquid
Pearl (5),0%,0,5,2,3,28%,13,33,43%,24,32,Team Liquid
Lotus (33),52%,17,16,11,22,51%,179,169,52%,193,179,Team Liquid
Sunset (14),36%,5,9,6,8,44%,61,78,52%,74,68,Team Liquid
Abyss (8),75%,6,2,4,4,62%,54,33,54%,42,36,Team Liquid
Bind (6),33%,2,4,4,2,56%,39,31,36%,22,39,Gentle Mates
Haven (17),71%,12,5,8,9,54%,93,80,58%,105,77,Gentle Mates
Split (16),69%,11,5,9,7,53%,100,89,53%,92,81,Gentle Mates
Ascent (15),60%,9,6,4,11,41%,65,92,63%,106,63,Gentle Mates
Icebox (11),36%,4,7,6,5,43%,47,62,45%,49,60,Gentle Mates
Breeze (3),33%,1,2,2,1,47%,17,19,54%,13,11,Gentle Mates
Fracture (11),45%,5,6,6,5,43%,51,69,57%,65,50,Gentle Mates
Pearl (6),50%,3,3,2,4,45%,25,30,47%,28,32,Gentle Mates
Lotus (22),41%,9,13,13,9,47%,118,132,46%,110,127,Gentle Mates
Sunset (13),38%,5,8,4,9,50%,63,63,40%,56,85,Gentle Mates
Abyss (2),50%,1,1,0,2,73%,8,3,42%,10,14,Gentle Mates
Bind (11),36%,4,7,3,8,46%,53,61,45%,55,66,GIANTX
Haven (14),43%,6,8,8,6,47%,64,71,42%,57,78,GIANTX
Split (11),18%,2,9,6,5,35%,40,73,39%,43,68,GIANTX
Ascent (15),60%,9,6,11,4,46%,78,92,57%,90,68,GIANTX
Icebox (5),40%,2,3,3,2,52%,27,25,44%,24,30,GIANTX
Breeze (4),50%,2,2,2,2,45%,17,21,49%,20,21,GIANTX
Fracture (3),67%,2,1,2,1,55%,18,15,48%,16,17,GIANTX
Pearl (4),0%,0,4,1,3,33%,12,24,38%,17,28,GIANTX
Lotus (19),47%,9,10,8,11,50%,101,100,45%,92,114,GIANTX
Sunset (18),61%,11,7,7,11,48%,87,93,51%,104,100,GIANTX
Abyss (0),-,0,0,0,0,-,0,0,-,0,0,GIANTX
Bind (27),52%,14,13,15,12,54%,158,132,53%,143,128,KOI
Haven (22),32%,7,15,8,14,46%,111,128,49%,116,119,KOI
Split (17),59%,10,7,7,10,55%,96,79,52%,98,92,KOI
Ascent (34),50%,17,17,12,22,46%,152,177,59%,224,156,KOI
Icebox (31),45%,14,17,15,16,50%,161,163,46%,153,183,KOI
Breeze (16),44%,7,9,6,10,45%,74,90,51%,82,78,KOI
Fracture (9),44%,4,5,6,3,50%,49,49,45%,43,52,KOI
Pearl (7),14%,1,6,1,6,34%,19,37,44%,35,44,KOI
Lotus (16),31%,5,11,9,7,42%,71,98,46%,78,90,KOI
Sunset (9),22%,2,7,6,3,44%,43,54,35%,28,53,KOI
Abyss (1),0%,0,1,0,1,50%,2,2,8%,1,11,KOI
Bind (87),67%,58,29,50,36,54%,526,452,55%,498,413,EDward Gaming
Haven (82),60%,49,33,43,38,51%,431,407,58%,481,355,EDward Gaming
Split (60),63%,38,22,33,27,51%,313,297,56%,360,278,EDward Gaming
Ascent (69),62%,43,26,47,20,52%,379,355,56%,362,283,EDward Gaming
Icebox (59),64%,38,21,34,25,55%,346,281,55%,326,270,EDward Gaming
Breeze (31),74%,23,8,17,13,59%,189,130,55%,181,147,EDward Gaming
Fracture (40),70%,28,12,23,17,57%,242,185,61%,248,160,EDward Gaming
Pearl (30),50%,15,15,17,12,46%,159,183,53%,173,152,EDward Gaming
Lotus (49),55%,27,22,35,14,53%,292,257,50%,246,242,EDward Gaming
Sunset (39),69%,27,12,25,14,55%,230,191,58%,218,157,EDward Gaming
Abyss (10),50%,5,5,6,3,60%,59,39,41%,43,62,EDward Gaming
Bind (24),42%,10,14,7,17,46%,112,131,51%,139,131,FunPlus Phoenix
Haven (35),43%,15,20,15,20,52%,183,171,49%,182,187,FunPlus Phoenix
Split (15),47%,7,8,4,11,54%,74,64,52%,83,76,FunPlus Phoenix
Ascent (36),56%,20,16,15,21,52%,202,187,52%,201,188,FunPlus Phoenix
Icebox (16),44%,7,9,7,9,62%,114,71,40%,68,102,FunPlus Phoenix
Breeze (9),44%,4,5,1,8,46%,39,46,51%,56,54,FunPlus Phoenix
Fracture (7),43%,3,4,2,5,44%,30,38,58%,50,36,FunPlus Phoenix
Pearl (18),67%,12,6,11,6,62%,111,68,55%,91,74,FunPlus Phoenix
Lotus (44),61%,27,17,19,25,58%,263,192,53%,243,219,FunPlus Phoenix
Sunset (32),50%,16,16,19,13,50%,168,169,46%,150,177,FunPlus Phoenix
Abyss (11),45%,5,6,6,5,57%,66,50,42%,53,73,FunPlus Phoenix
Bind (29),45%,13,16,15,12,51%,145,137,45%,132,159,Trace Esports
Haven (33),48%,16,17,22,9,52%,169,159,44%,135,169,Trace Esports
Split (26),62%,16,10,13,12,57%,136,104,52%,133,124,Trace Esports
Ascent (31),58%,18,13,16,14,51%,157,150,55%,164,134,Trace Esports
Icebox (3),100%,3,0,2,1,57%,17,13,71%,24,10,Trace Esports
Breeze (7),29%,2,5,6,1,53%,44,39,36%,26,46,Trace Esports
Fracture (3),0%,0,3,3,0,42%,16,22,27%,7,19,Trace Esports
Pearl (14),43%,6,8,10,4,47%,72,80,44%,60,76,Trace Esports
Lotus (44),55%,24,20,21,21,48%,213,227,52%,238,222,Trace Esports
Sunset (35),54%,19,16,18,17,52%,183,166,52%,193,175,Trace Esports
Abyss (13),31%,4,9,10,3,54%,85,73,32%,37,77,Trace Esports
Bind (33),55%,18,15,16,17,50%,172,174,52%,183,171,Bilibili Gaming
Haven (41),39%,16,25,24,17,50%,216,217,42%,179,245,Bilibili Gaming
Split (23),48%,11,12,9,14,46%,105,124,49%,110,113,Bilibili Gaming
Ascent (38),66%,25,13,20,18,50%,209,209,59%,231,163,Bilibili Gaming
Icebox (29),55%,16,13,15,14,54%,165,143,47%,141,156,Bilibili Gaming
Breeze (5),20%,1,4,2,3,52%,30,28,45%,25,30,Bilibili Gaming
Fracture (13),54%,7,6,7,6,60%,80,54,47%,61,70,Bilibili Gaming
Pearl (25),64%,16,9,12,13,51%,132,127,52%,140,129,Bilibili Gaming
Lotus (59),59%,35,24,25,34,52%,308,282,53%,319,285,Bilibili Gaming
Sunset (21),48%,10,11,14,7,48%,116,126,53%,109,97,Bilibili Gaming
Abyss (9),67%,6,3,2,7,54%,50,43,46%,48,56,Bilibili Gaming
Bind (25),56%,14,11,11,11,51%,113,107,50%,119,117,Dragon Ranger Gaming
Haven (41),49%,20,21,17,22,50%,199,196,50%,216,215,Dragon Ranger Gaming
Split (25),36%,9,16,14,11,43%,113,149,47%,117,130,Dragon Ranger Gaming
Ascent (44),57%,25,19,22,22,51%,228,222,54%,251,211,Dragon Ranger Gaming
Icebox (18),50%,9,9,13,5,47%,93,104,47%,90,100,Dragon Ranger Gaming
Breeze (15),40%,6,9,7,7,42%,58,81,50%,69,70,Dragon Ranger Gaming
Fracture (6),33%,2,4,6,0,52%,38,35,34%,18,35,Dragon Ranger Gaming
Pearl (16),50%,8,8,4,12,49%,69,73,52%,95,87,Dragon Ranger Gaming
Lotus (45),47%,21,24,22,22,52%,252,229,42%,198,276,Dragon Ranger Gaming
Sunset (21),48%,10,11,8,13,49%,103,106,49%,109,114,Dragon Ranger Gaming
Abyss (7),57%,4,3,3,4,51%,37,36,49%,34,36,Dragon Ranger Gaming
Bind (16),44%,7,9,6,10,50%,79,78,54%,94,81,JDG Esports
Haven (22),55%,12,10,14,8,53%,121,109,54%,114,99,JDG Esports
Split (8),38%,3,5,1,7,48%,37,40,43%,42,55,JDG Esports
Ascent (14),50%,7,7,7,6,40%,48,71,54%,68,57,JDG Esports
Icebox (12),58%,7,5,3,9,54%,65,56,50%,65,66,JDG Esports
Breeze (3),0%,0,3,1,1,29%,7,17,55%,11,9,JDG Esports
Fracture (3),33%,1,2,2,1,62%,21,13,21%,6,22,JDG Esports
Pearl (8),63%,5,3,3,5,49%,36,38,65%,51,28,JDG Esports
Lotus (18),56%,10,8,11,7,58%,112,80,47%,85,96,JDG Esports
Sunset (18),33%,6,12,8,9,48%,80,87,43%,74,99,JDG Esports
Abyss (9),44%,4,5,7,2,54%,57,48,38%,28,46,JDG Esports
Bind (29),38%,11,18,9,19,44%,119,151,49%,148,151,All Gamers
Haven (21),33%,7,14,8,13,52%,97,90,41%,92,134,All Gamers
Split (16),44%,7,9,12,4,45%,78,96,52%,75,70,All Gamers
Ascent (17),29%,5,12,8,8,37%,60,103,41%,64,94,All Gamers
Icebox (12),42%,5,7,7,5,47%,65,74,51%,57,55,All Gamers
Breeze (11),36%,4,7,6,3,53%,56,50,45%,46,56,All Gamers
Fracture (6),33%,2,4,2,4,44%,25,32,43%,29,39,All Gamers
Pearl (13),8%,1,12,7,6,36%,47,84,36%,43,77,All Gamers
Lotus (21),38%,8,13,7,14,46%,76,90,41%,92,130,All Gamers
Sunset (22),41%,9,13,12,10,47%,111,123,47%,107,123,All Gamers
Abyss (7),29%,2,5,3,4,32%,22,47,47%,32,36,All Gamers
Bind (34),59%,20,14,16,18,52%,167,155,50%,168,168,TYLOO
Haven (41),41%,17,24,24,17,47%,208,238,47%,185,208,TYLOO
Split (33),42%,14,19,14,19,46%,153,183,50%,172,170,TYLOO
Ascent (41),41%,17,24,19,22,47%,207,236,48%,209,230,TYLOO
Icebox (22),41%,9,13,12,10,56%,118,92,38%,82,131,TYLOO
Breeze (10),10%,1,9,6,4,40%,41,61,46%,44,52,TYLOO
Fracture (9),44%,4,5,5,4,50%,48,48,50%,50,51,TYLOO
Pearl (22),41%,9,13,12,10,50%,121,123,49%,108,113,TYLOO
Lotus (21),38%,8,13,15,6,44%,98,123,49%,99,104,TYLOO
Sunset (11),27%,3,8,6,5,46%,55,64,39%,39,62,TYLOO
Abyss (3),33%,1,2,0,3,42%,10,14,61%,22,14,TYLOO
Bind (14),29%,4,10,9,5,43%,70,91,43%,59,79,Wolves Esports
Haven (19),74%,14,5,7,12,57%,113,84,52%,113,106,Wolves Esports
Split (19),47%,9,10,10,9,51%,95,91,49%,96,101,Wolves Esports
Ascent (24),63%,15,9,15,9,47%,122,140,55%,143,116,Wolves Esports
Icebox (13),54%,7,6,6,7,55%,78,63,49%,68,70,Wolves Esports
Breeze (2),50%,1,1,0,2,45%,10,12,58%,14,10,Wolves Esports
Fracture (5),40%,2,3,1,4,47%,27,31,49%,31,32,Wolves Esports
Pearl (12),67%,8,4,3,9,36%,44,79,68%,94,45,Wolves Esports
Lotus (21),38%,8,13,11,10,46%,107,124,49%,112,117,Wolves Esports
Sunset (15),47%,7,8,6,9,48%,74,79,47%,78,87,Wolves Esports
Abyss (14),43%,6,8,8,6,50%,75,75,50%,66,67,Wolves Esports
Bind (23),43%,10,13,10,10,44%,91,117,49%,96,101,Nova Esports
Haven (19),42%,8,11,8,11,50%,94,94,47%,100,112,Nova Esports
Split (37),57%,21,16,29,5,53%,208,186,49%,144,152,Nova Esports
Ascent (29),48%,14,15,15,13,46%,139,166,52%,154,143,Nova Esports
Icebox (13),62%,8,5,6,7,56%,76,60,43%,61,81,Nova Esports
Breeze (0),-,0,0,0,0,-,0,0,-,0,0,Nova Esports
Fracture (7),43%,3,4,2,5,58%,42,31,43%,33,44,Nova Esports
Pearl (12),33%,4,8,2,10,45%,48,58,49%,69,71,Nova Esports
Lotus (24),21%,5,19,11,12,46%,108,129,38%,90,149,Nova Esports
Sunset (23),52%,12,11,10,12,55%,119,98,56%,130,104,Nova Esports
Abyss (12),83%,10,2,4,7,54%,55,46,66%,85,44,Nova Esports
Bind (15),47%,7,8,7,8,45%,72,88,51%,85,82,Titan Esports Club
Haven (21),43%,9,12,12,9,42%,96,131,54%,113,96,Titan Esports Club
Split (12),58%,7,5,3,8,55%,54,44,47%,56,62,Titan Esports Club
Ascent (12),17%,2,10,3,9,32%,33,69,45%,58,71,Titan Esports Club
Icebox (14),43%,6,8,5,9,46%,60,70,52%,86,78,Titan Esports Club
Breeze (3),100%,3,0,0,3,63%,22,13,55%,23,19,Titan Esports Club
Fracture (8),38%,3,5,5,3,56%,53,42,39%,34,53,Titan Esports Club
Pearl (5),40%,2,3,4,1,47%,26,29,50%,21,21,Titan Esports Club
Lotus (23),43%,10,13,13,9,49%,117,122,46%,104,120,Titan Esports Club
Sunset (16),38%,6,10,9,6,45%,74,89,47%,77,87,Titan Esports Club
Abyss (9),33%,3,6,5,4,48%,41,44,36%,33,59,Titan Esports Club
